"","date","040008","070032","110022","260108","340007","hs300"
"1",2017-10-19,3.8309,2.7295,2.138,2.9841,4.2048,3931.25
"2",2017-10-20,3.8324,2.7061,2.115,2.9633,4.1649,3926.85
"3",2017-10-23,3.8314,2.7335,2.125,3.0048,4.215,3930.8
"4",2017-10-24,3.8585,2.7433,2.137,3.0256,4.2572,3959.4
"5",2017-10-25,3.8765,2.7863,2.157,3.0763,4.2925,3976.95
"6",2017-10-26,3.8961,2.7883,2.172,3.1063,4.3028,3993.58
"7",2017-10-27,3.9463,2.8118,2.212,3.1432,4.3187,4021.97
"8",2017-10-30,3.9242,2.8275,2.205,3.1455,4.3335,4009.72
"9",2017-10-31,3.9257,2.8412,2.189,3.1478,4.3244,4006.72
"10",2017-11-01,3.927,2.8255,2.178,3.134,4.305,3996.62
"11",2017-11-02,3.9283,2.8275,2.194,3.1593,4.264,3997.13
"12",2017-11-03,3.9349,2.8353,2.197,3.1455,4.3062,3992.7
"13",2017-11-06,3.9706,2.9038,2.258,3.2378,4.4076,4020.89
"14",2017-11-07,4.0186,2.9097,2.256,3.2331,4.4475,4054.25
"15",2017-11-08,3.9889,2.894,2.239,3.1985,4.3939,4048.01
"16",2017-11-09,4.0356,2.9351,2.254,3.2147,4.4976,4075.9
"17",2017-11-10,4.0954,3.0037,2.306,3.2793,4.6024,4111.91
"18",2017-11-13,4.1735,3.0291,2.297,3.2677,4.7061,4128.07
"19",2017-11-14,4.1558,2.9861,2.263,3.217,4.615,4099.35
"20",2017-11-15,4.1499,2.9626,2.276,3.2216,4.5819,4073.67
"21",2017-11-16,4.24,3.0135,2.315,3.2977,4.6708,4105.01
"22",2017-11-17,4.243,2.9684,2.309,3.2585,4.5603,4120.85
"23",2017-11-20,4.2849,3.0056,2.302,3.2862,4.6833,4143.83
"24",2017-11-21,4.3323,3.0507,2.348,3.3554,4.7882,4217.7
"25",2017-11-22,4.3034,3.0096,2.311,3.2862,4.7301,4227.57
"26",2017-11-23,4.1654,2.8509,2.219,3.1455,4.493,4102.4
"27",2017-11-24,4.1652,2.847,2.221,3.1455,4.4235,4104.2
"28",2017-11-27,4.1208,2.802,2.191,3.0763,4.3141,4049.95
"29",2017-11-28,4.1441,2.8294,2.209,3.1271,4.3973,4055.82
"30",2017-11-29,4.1893,2.8059,2.162,3.0763,4.3939,4053.75
"31",2017-11-30,4.1114,2.7628,2.138,3.0302,4.2674,4006.1
"32",2017-12-01,4.085,2.7707,2.137,3.0417,4.329,3998.14
"33",2017-12-04,4.1213,2.8196,2.18,3.1132,4.3859,4018.86
"34",2017-12-05,4.1289,2.8118,2.194,3.0994,4.3449,4040.17
"35",2017-12-06,4.0817,2.7961,2.172,3.0948,4.3267,4015.82
"36",2017-12-07,4.0115,2.7491,2.13,3.0394,4.2697,3971.06
"37",2017-12-08,4.0749,2.8079,2.168,3.0971,4.3723,4003.38
"38",2017-12-11,4.1555,2.896,2.248,3.1962,4.4828,4069.5
"39",2017-12-12,4.084,2.8705,2.232,3.187,4.4258,4016.02
"40",2017-12-13,4.1124,2.9195,2.285,3.2677,4.4406,4050.09
"41",2017-12-14,4.104,2.9175,2.281,3.2677,4.3734,4026.15
"42",2017-12-15,4.046,2.8764,2.259,3.2354,4.3233,3980.86
"43",2017-12-18,4.0569,2.8901,2.294,3.2654,4.2891,3985.29
"44",2017-12-19,4.1449,2.9312,2.314,3.2977,4.3495,4035.33
"45",2017-12-20,4.1327,2.941,2.344,3.3484,4.2902,4030.49
"46",2017-12-21,4.192,2.9919,2.356,3.3761,4.4064,4067.85
"47",2017-12-22,4.1956,2.9763,2.341,3.3507,4.4133,4054.6
